name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
Nat.zero_le,1251524,2063265726,286363508066,504817298994,856,115797975545,422122982,1
String.extract.go₂,-1,-1,-1,-1,-1,-1,-1,247
Init.Data.Nat.Lemmas._auxLemma.15,590018,1493166380,83043555407,222966388547,1291,46010980319,620416030,1
StateCpsT.run_eq,478336,4294680706,84726362888,163967775339,723,37730256317,1525095187,1
Int.lt_trans,-1,-1,-1,-1,-1,-1,-1,-1234
unexpandMkArray2,-1,-1,-1,-1,-1,-1,-1,-1239
Lean.Parser.Tactic.Conv.convSeq,-1,-1,-1,-1,-1,-1,-1,-1239
Quotient.inductionOn₃,-1,-1,-1,-1,-1,-1,-1,-1235
Sigma._sizeOf_1,1477719,2325411021,558439206213,580657609361,1105,130554043897,507245180,1
instToStringUSize,-1,-1,-1,-1,-1,-1,-1,101
Sum.instBEqSum,689410,1673328931,122342956985,254089304571,983,54562913748,380513180,1
ToBool.recOn,124978,922702619,10592285486,40771937718,637,8496490675,245691784,1
Nat.Linear.ExprCnstr.denote,-1,-1,-1,-1,-1,-1,-1,-1237
instMonadControlOptionT,736688,3100005163,123816844857,266852418137,1081,56427525293,1554291944,1
instReprSigma,-1,-1,-1,-1,-1,-1,-1,-1239
ByteArray.size.match_1,169567,2345272308,16497470757,61297538357,536,12386563955,2264776041,1
LawfulApplicative.seqRight_eq,834565,3709952003,114016553677,290913836430,796,58981763949,5130595626,1
Nat.gcd,-1,-1,-1,-1,-1,-1,-1,-1234
HasSubset.noConfusion,1233769,1382838730,363831382003,902000786758,843,112398488285,511671045,1
Max.noConfusion,1243940,1366508294,303834564706,907489519755,965,152308783701,484039687,1
IO.FS.rename,-1,-1,-1,-1,-1,-1,-1,-1239
Std.ToFormat.recOn,177029,3380027112,17431180126,64086077171,917,13133617316,2368511569,1
Int.negSucc_ne_zero,1706589,2116296441,541682434845,666596871668,1010,162413858702,549208616,1
Int.div.match_1,570927,1517938749,133155391785,441394984167,1040,86206142317,903686655,1
Lean.Macro.Exception.casesOn,205000,6127112715,25946892750,72602277703,895,16638970295,2762224035,1
Std.Queue.enqueueAll,1513814,2378028077,392454945285,551874551824,819,132462670609,393930199,1
Classical.ofNonempty,38034,783858424,3367050746,14096611206,830,2890276916,137052465,1
UInt8.decLt,-1,9963483197,-1,-1,-1,-1,-1,1
Std.LeftIdentity.recOn,313365,787239716,36458009226,115050608237,852,22634978747,250921307,1
iff_def\\',703534,1335858950,123971757831,272564611331,668,56751040304,342359745,1
Nat.add_le_of_le_sub.match_1,2016579,3513721120,603715878127,689713109268,828,161563608604,2111224365,1
Nat.SOM.Poly.add.go.match_1,2111543,586800201,673325759671,604602027381,830,160957127781,612262324,1
Int.instLawfulBEqIntInstBEqInstDecidableEqInt,-1,-1,-1,-1,-1,-1,-1,-1235
instStreamRangeNat,-1,9494325151,-1,-1,-1,-1,-1,1
Lean.MonadRef.mkInfoFromRefPos,525597,10037011082,91864249099,209655250867,983,45986225880,3861646721,1
Option.mem_unique,1024080,1834507458,227805487607,344711926820,941,76073116440,369342752,1
Lean.TrailingParserDescr,59449,2977210885,4700696554,20488697613,695,4135210337,316975719,1
IO.Process.run,-1,-1,-1,-1,-1,-1,-1,-1239
Nat.log2,-1,-1,-1,-1,-1,-1,-1,-1235
Nat.dvd_of_mul_dvd_mul_right,-1,-1,-1,-1,-1,-1,-1,-1234
instSubsingletonForAll,-1,-1,-1,-1,-1,-1,-1,-1235
HAnd.noConfusion,1881285,1490511720,632265806248,645000993531,1272,157258008687,648871698,1
BitVec.toNat_shiftLeft,-1,-1,-1,-1,-1,-1,-1,101
Option.min_none_none,84231,1603387465,7531313449,30206595747,927,6200851390,405930585,1
Fin.eq_zero_or_eq_succ,-1,-1,-1,-1,-1,-1,-1,-1234
Nat.Linear.instLawfulBEqPolyCnstrInstBEqPolyCnstr.match_1,1114972,2432948910,356102473181,463992731020,1190,99895117463,905484271,1
ne_false_of_self,226072,981994450,22693385333,76132138227,776,15330351733,231937218,1
Int.add_zero,478345,2813765575,56624792766,164715988440,905,61501289208,879144381,1
Lean.MonadQuotation.getCurrMacroScope,151855,4142105503,16508026834,56342380494,766,11535545945,2918435246,-1235
CoeHead.coe,89294,764575283,7541358622,31413557360,849,6276894610,192510117,1
FloatArray.foldlM,-1,30315604114,-1,-1,-1,-1,-1,1
String.back,-1,-1,-1,-1,-1,-1,-1,247
PProd.recOn,183928,795736558,18423333676,69457333651,1174,13893403072,239881742,1
Fin.instOfNat,-1,-1,-1,-1,-1,-1,-1,-1234
Int.neg_zero,58435,1919492895,4808974329,19434582854,995,3982875532,363372838,1
instDecidableLtUInt32InstLTUInt32,-1,9031672364,-1,-1,-1,-1,-1,1
