tactic.simp_config.constructor_eq._default,1,12,1,1,1,12,3,3,3,1
tactic.simp_config.fail_if_unchanged._default,1,12,1,1,1,12,3,3,3,1
tactic.apply_cfg.new_goals._default,1,15,1,1,1,15,6,4,4,1
tactic.dsimp_config.proj._default,1,12,1,1,1,12,3,3,3,1
smt_pre_config.zeta._default,1,12,1,1,1,12,4,3,3,1
io.process.spawn_args.stdout._default,1,15,1,1,1,15,6,4,4,1
tactic.simp_config.eta._default,1,12,1,1,1,12,3,3,3,1
feature_search.predictor_cfg.type._default,1,15,1,1,1,15,5,4,4,1
int.has_coe,52,68,4,33,3,54,7,5,4,1
implies,9,8,7,2,0,3,1,1,1,1
list.as_string,15,976,3,6,12,973,17,7,4,1
well_founded_tactics.id_tag.wf.equations._eqn_1,35,39,3,25,2,30,3,2,2,1
_private.1165308017.tagged_proof.wf.equations._eqn_1,35,39,3,25,2,30,3,2,2,1
tactic.id_tag.simp.equations._eqn_1,35,39,3,25,2,30,3,2,2,1
smt.array,9,8,7,2,0,3,1,1,1,1
string.inhabited,44,991,5,24,13,985,19,7,4,1
tactic.id_tag.conv.equations._eqn_1,35,39,3,25,2,30,3,2,2,1
_private.754422749.tagged_proof.rsimp.equations._eqn_1,35,39,3,25,2,30,3,2,2,1
string.equations._eqn_1,35,998,3,25,13,989,18,7,4,1
tactic.id_tag.rw.equations._eqn_1,35,39,3,25,2,30,3,2,2,1
string.iterator.equations._eqn_1,35,1001,3,25,13,992,18,7,4,1
tactic.id_tag.rsimp.equations._eqn_1,35,39,3,25,2,30,3,2,2,1
id_tag,7,17,5,1,1,14,2,2,2,1
nat.le,22,52,6,8,2,21,5,4,3,1
false.elim,25,16,6,10,1,5,1,1,1,1
nat.sizeof,3,19,2,1,1,18,3,3,3,1
nat.sizeof._main,3,19,2,1,1,18,3,3,3,1
decidable.false,39,48,4,26,2,37,4,3,3,1
not_false,3,6,2,1,1,5,1,1,1,1
mk_str_name,22,1349,6,7,14,1342,23,8,5,1
empty_relation,7,10,5,1,1,5,1,1,1,1
nat.sizeof._sunfold,3,19,2,1,1,18,3,3,3,1
false.cases_on,25,16,6,10,1,5,1,1,1,1
false.rec_on,25,16,6,10,1,5,1,1,1,1
nat.lt,28,56,7,9,2,21,5,4,3,1
io.process.spawn_args.cwd._default,12,991,2,9,13,990,20,7,4,1
tactic.dunfold_config.to_dsimp_config,55,130,9,33,5,104,12,8,7,1
tactic.unfold_proj_config.to_dsimp_config,55,130,9,33,5,104,12,8,7,1
tactic.unfold_config.to_simp_config,55,132,9,33,4,106,7,5,4,1
io.process.spawn_args.args._default,12,975,2,9,12,974,18,7,4,1
structure_instance_info.struct._default,12,1358,2,9,15,1357,24,8,5,1
nat.has_lt,58,78,8,29,3,38,6,5,3,1
nat.has_sizeof,31,41,3,18,2,35,4,4,3,1
function.const,9,12,11,1,0,7,1,1,1,1
feature_search.predictor_type.bayes.inj,8,42,2,1,3,40,6,4,4,1
implies.decidable._proof_1,9,12,11,1,0,7,1,1,1,1
vm_decl_kind.cfun.inj,8,42,2,1,3,40,6,4,4,1
vm_obj_kind.mpz.inj,8,76,2,1,3,74,17,15,15,1
tactic.unfold_config.proj._default,3,99,2,1,3,98,7,4,4,1
vm_decl_kind.bytecode.inj,8,42,2,1,3,40,6,4,4,1
binder_info.strict_implicit.inj,8,49,2,1,3,47,8,6,6,1
tactic.unfold_config.eta._default,3,99,2,1,3,98,7,4,4,1
expr.coord.lam_var_type.inj,8,61,2,1,3,59,12,10,10,1
tactic.new_goals.all.inj,8,42,2,1,3,40,6,4,4,1
widget.mouse_event_kind.on_mouse_leave.inj,8,42,2,1,3,40,6,4,4,1
feature_search.predictor_type.mepo.inj,8,42,2,1,3,40,6,4,4,1
vm_obj_kind.format.inj,8,76,2,1,3,74,17,15,15,1
vm_obj_kind.simple.inj,8,76,2,1,3,74,17,15,15,1
environment.implicit_infer_kind.none.inj,8,42,2,1,3,40,6,4,4,1
ordering.lt.inj,8,42,2,1,3,40,6,4,4,1
bool.ff.inj,8,40,2,1,3,38,5,3,3,1
binder_info.aux_decl.inj,8,49,2,1,3,47,8,6,6,1
congr_arg_kind.cast.inj,8,52,2,1,3,50,9,7,7,1
expr.coord.pi_var_type.inj,8,61,2,1,3,59,12,10,10,1
tactic.transparency.instances.inj,8,49,2,1,3,47,8,6,6,1
reducibility_hints.abbrev.inj,8,71,2,1,5,69,10,4,5,1
expr.address.equations._eqn_1,41,89,4,31,3,80,13,11,11,1
vm_obj_kind.level.inj,8,76,2,1,3,74,17,15,15,1
tactic.delta_config.max_steps,60,69,11,34,3,39,6,4,4,1
tactic.transparency.reducible.inj,8,49,2,1,3,47,8,6,6,1
expr.coord.app_fn.inj,8,61,2,1,3,59,12,10,10,1
tactic.simp_intros_config.use_hyps,59,139,10,34,4,109,7,5,4,1
vm_obj_kind.closure.inj,8,76,2,1,3,74,17,15,15,1
tactic.rewrite_cfg.md._default,3,77,2,1,4,76,16,7,6,1
std_gen.s1,58,61,11,32,2,31,4,4,3,1
io.process.stdio.piped.inj,8,42,2,1,3,40,6,4,4,1
vm_obj_kind.declaration.inj,8,76,2,1,3,74,17,15,15,1
tactic.unfold_config.zeta._default,3,99,2,1,3,98,7,4,4,1
congr_arg_kind.fixed_no_param.inj,8,52,2,1,3,50,9,7,7,1
format.color.cyan.inj,8,55,2,1,3,53,10,8,8,1
subsingleton_info.is_subsingleton,58,57,10,32,2,27,4,4,3,1
tactic.new_goals.non_dep_only.inj,8,42,2,1,3,40,6,4,4,1
ematch_config.max_generation,58,61,10,32,2,31,4,4,3,1
io.process.stdio.null.inj,8,42,2,1,3,40,6,4,4,1
