name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
bit0_eq_two_mul,-1,-1,-1,-1,-1,-1,-1,-1239
BitVec.toNat_xor,-1,-1,-1,-1,-1,-1,-1,-1234
Bool.inf_eq_band,-1,-1,-1,-1,-1,-1,-1,-1239
BoolRing.instConcreteCategory,-1,-1,-1,-1,-1,-1,-1,-1239
borel_eq_generateFrom_Ici,-1,-1,-1,-1,-1,-1,-1,-1239
Bornology.IsBounded.exists_pos_norm_lt\\',-1,-1,-1,-1,-1,-1,-1,-1239
Bornology.IsBounded.image_fst,-1,-1,-1,-1,-1,-1,-1,-1239
Bornology.isVonNBounded_covers,-1,-1,-1,-1,-1,-1,-1,-1239
Bornology.ofDist.proof_2,-1,-1,-1,-1,-1,-1,-1,-1239
bot_isPrincipal,-1,-1,-1,-1,-1,-1,-1,-1239
boundariesToCycles\\'NatTrans_app,-1,-1,-1,-1,-1,-1,-1,-1239
BoundedContinuousFunction.dist_extend_extend,-1,-1,-1,-1,-1,-1,-1,-1239
BoundedContinuousFunction.toLp_denseRange,-1,-1,-1,-1,-1,-1,-1,-1239
BoxIntegral.BoxAdditiveMap.mk.sizeOf_spec,-1,-1,-1,-1,-1,-1,-1,-1239
BoxIntegral.Prepartition.filter_true,-1,-1,-1,-1,-1,-1,-1,-1239
btw_refl_left,-1,-1,-1,-1,-1,-1,-1,-1239
CanonicallyLinearOrderedSemifield.mul_inv_cancel,-1,-1,-1,-1,-1,-1,-1,-1239
Cardinal.add_one_eq,-1,-1,-1,-1,-1,-1,-1,-1235
Cardinal.mk_finsupp_lift_of_fintype,-1,-1,-1,-1,-1,-1,-1,-1235
CategoryTheory.Abelian.PullbackToBiproductIsKernel.isLimitPullbackToBiproduct,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Adhesive.van_kampen\\',-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Adjunction.conesIso.proof_3,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Adjunction.isRightAdjointToIsEquivalence_counitIso_hom_app,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Adjunction.noConfusionType,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.BicartesianSq.toIsPullback,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Bicategory.comp_whiskerLeft_assoc,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.bifunctorComp₂₃Obj.proof_4,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.CatCommSq.hInvEquiv,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.CategoryOfElements.fromCostructuredArrow_obj_mk,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.CategoryStruct.comp,151554,17341210126,14792035294,56293598347,852,11181456416,608577224,1
CategoryTheory.Center.Hom.mk.injEq,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.CommSq.flip,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Comonad.coalgebraPreadditive.proof_11,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.ComposableArrows.isoMk₄.proof_9,-1,-1,-1,-1,-1,-1,-1,-1235
CategoryTheory.CosimplicialObject.δ_comp_δ\\'\\',-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.CreatesColimit.noConfusion,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.discreteCategory.proof_5,379692,17310628014,46058575866,132675218381,927,27213815253,317279035,1
CategoryTheory.Endofunctor.coalgebraPreadditive.proof_4,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Factorisation.forget.proof_2,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.finBiconeHom.proof_21,382796,16857325817,38714824615,132389917810,702,26278328643,350102433,1
CategoryTheory.flipCompEvaluation_hom_app,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.FreeBicategory.liftHom.match_1,-1,-1,-1,-1,-1,-1,-1,-1237
CategoryTheory.FreeBicategory.normalizeUnitIso.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Functor.comp.proof_2,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Functor.IsCoverDense.sheafEquivOfCoverPreservingCoverLiftingSheafificationCompatibility,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Functor.opHom.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Functor.PreservesHomology.preservesKernels,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.GlueData.vPullbackConeIsLimitOfMap.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
