string,1,973,1,1,12,1,17,7,3
unit,1,9,1,1,1,1,2,2,2
tactic.id_tag.rw,1,9,1,1,1,9,2,2,2
unit.star,1,9,1,1,1,9,2,2,2
tactic.id_tag.simp,1,9,1,1,1,9,2,2,2
trivial,1,6,1,1,1,5,2,2,2
string.iterator,1,976,1,1,12,1,17,7,3
well_founded_tactics.id_tag.wf,1,9,1,1,1,9,2,2,2
_private.1165308017.tagged_proof.wf,1,9,1,1,1,9,2,2,2
tactic.id_tag.rsimp,1,9,1,1,1,9,2,2,2
tactic.id_tag.conv,1,9,1,1,1,9,2,2,2
_private.754422749.tagged_proof.rsimp,1,9,1,1,1,9,2,2,2
expr.address,9,59,2,3,2,1,12,11,10
tactic.tag,9,1341,2,3,14,1,21,8,4
string.empty,22,975,3,12,12,973,18,7,3
out_param,3,4,2,1,0,2,1,1,1
lean.special_version_desc,22,975,3,12,12,973,18,7,3
not,7,7,3,2,1,2,1,1,1
nat.has_le,34,70,3,24,3,38,6,5,3
nat.has_zero,26,37,3,15,2,33,5,4,3
occurrences.inhabited,26,77,3,15,4,73,11,6,4
decidable.true,26,45,3,15,3,40,4,4,3
thunk,7,12,4,2,1,2,2,2,2
set,7,6,3,1,0,2,1,1,1
environment.implicit_infer_kind.inhabited,26,36,3,15,2,32,7,5,4
name.inhabited,26,1356,3,15,15,1352,24,8,4
nat.inhabited,26,37,3,15,2,33,5,4,3
prop.inhabited,26,27,3,15,2,20,3,3,2
bool.inhabited,26,32,3,15,2,28,5,4,3
true.inhabited,26,28,3,15,2,23,3,3,2
punit.inhabited,26,30,3,15,2,26,3,3,2
id_rhs,5,7,4,1,0,4,1,1,1
nat.has_one,32,38,4,17,2,33,5,4,3
auto_param,5,1344,4,1,14,1342,21,8,4
id,5,7,4,1,0,4,1,1,1
id_delta,5,7,4,1,0,4,1,1,1
io,19,993,4,6,13,4,19,7,3
opt_param,5,6,4,1,0,4,1,1,1
tactic.simp_config.lift_eq._default,1,12,1,1,1,12,3,3,3
tactic.dsimp_config.beta._default,1,12,1,1,1,12,3,3,3
combinator.I,5,7,4,1,0,4,1,1,1
tactic.simp_config.canonize_instances._default,1,12,1,1,1,12,3,3,3
tactic.apply_cfg.md._default,1,21,1,1,1,21,10,6,6
tactic.dsimp_config.unfold_reducible._default,1,12,1,1,1,12,4,3,3
tactic.dsimp_config.md._default,1,21,1,1,1,21,10,6,6
tactic.dsimp_config.single_pass._default,1,12,1,1,1,12,4,3,3
tactic.dsimp_config.iota._default,1,12,1,1,1,12,3,3,3
string.has_to_string,31,994,3,18,13,987,18,7,3
tactic.simp_config.memoize._default,1,12,1,1,1,12,3,3,3
tactic.simp_config.proj._default,1,12,1,1,1,12,3,3,3
feature_search.feature_cfg.ignore_decidable._default,1,12,1,1,1,12,3,3,3
cc_config.ignore_instances._default,1,12,1,1,1,12,3,3,3
tactic.simp_intros_config.use_hyps._default,1,12,1,1,1,12,4,3,3
tactic.simp_config.beta._default,1,12,1,1,1,12,3,3,3
tactic.simp_config.use_axioms._default,1,12,1,1,1,12,3,3,3
tactic.dsimp_config.eta._default,1,12,1,1,1,12,3,3,3
cc_config.ac._default,1,12,1,1,1,12,3,3,3
feature_search.feature_cfg.ignore_pi_domain._default,1,12,1,1,1,12,3,3,3
tactic.rewrite_cfg.occs._default,1,60,1,1,3,60,10,5,4
tactic.apply_cfg.auto_param._default,1,12,1,1,1,12,3,3,3
tactic.apply_cfg.unify._default,1,12,1,1,1,12,3,3,3
tactic.simp_config.canonize_proofs._default,1,12,1,1,1,12,4,3,3
feature_search.feature_cfg.ignore_type_args._default,1,12,1,1,1,12,3,3,3
tactic.apply_cfg.approx._default,1,12,1,1,1,12,3,3,3
tactic.rewrite_cfg.symm._default,1,12,1,1,1,12,4,3,3
tactic.apply_cfg.opt_param._default,1,12,1,1,1,12,3,3,3
tactic.apply_cfg.instances._default,1,12,1,1,1,12,3,3,3
io.process.spawn_args.stdin._default,1,15,1,1,1,15,6,4,4
io.process.spawn_args.stderr._default,1,15,1,1,1,15,6,4,4
feature_search.feature_cfg.ignore_tc._default,1,12,1,1,1,12,3,3,3
tactic.simp_config.contextual._default,1,12,1,1,1,12,4,3,3
tactic.delta_config.visit_instances._default,1,12,1,1,1,12,3,3,3
tactic.simp_config.zeta._default,1,12,1,1,1,12,3,3,3
infer_instance,5,7,4,1,0,4,1,1,1
tactic.simp_config.iota_eqn._default,1,12,1,1,1,12,4,3,3
tactic.simp_config.trace_lemmas._default,1,12,1,1,1,12,4,3,3
tactic.dsimp_config.canonize_instances._default,1,12,1,1,1,12,3,3,3
feature_search.feature_cfg.ignore_conns._default,1,12,1,1,1,12,3,3,3
cc_config.em._default,1,12,1,1,1,12,3,3,3
tactic.dsimp_config.fail_if_unchanged._default,1,12,1,1,1,12,3,3,3
tactic.simp_config.iota._default,1,12,1,1,1,12,3,3,3
tactic.dsimp_config.memoize._default,1,12,1,1,1,12,3,3,3
tactic.simp_config.single_pass._default,1,12,1,1,1,12,4,3,3
environment.intro_rule.infer._default,1,15,1,1,1,15,6,4,4
tactic.dsimp_config.zeta._default,1,12,1,1,1,12,3,3,3
tactic.simp_config.constructor_eq._default,1,12,1,1,1,12,3,3,3
tactic.simp_config.fail_if_unchanged._default,1,12,1,1,1,12,3,3,3
tactic.apply_cfg.new_goals._default,1,15,1,1,1,15,6,4,4
tactic.dsimp_config.proj._default,1,12,1,1,1,12,3,3,3
smt_pre_config.zeta._default,1,12,1,1,1,12,4,3,3
io.process.spawn_args.stdout._default,1,15,1,1,1,15,6,4,4
tactic.simp_config.eta._default,1,12,1,1,1,12,3,3,3
feature_search.predictor_cfg.type._default,1,15,1,1,1,15,5,4,4
int.has_coe,52,68,4,33,3,54,7,5,3
implies,9,8,7,2,0,3,1,1,1
list.as_string,15,976,3,6,12,973,17,7,3
well_founded_tactics.id_tag.wf.equations._eqn_1,35,39,3,25,2,30,3,2,2
_private.1165308017.tagged_proof.wf.equations._eqn_1,35,39,3,25,2,30,3,2,2
tactic.id_tag.simp.equations._eqn_1,35,39,3,25,2,30,3,2,2
smt.array,9,8,7,2,0,3,1,1,1
string.inhabited,44,991,5,24,13,985,19,7,3
tactic.id_tag.conv.equations._eqn_1,35,39,3,25,2,30,3,2,2
_private.754422749.tagged_proof.rsimp.equations._eqn_1,35,39,3,25,2,30,3,2,2
string.equations._eqn_1,35,998,3,25,13,989,18,7,3
tactic.id_tag.rw.equations._eqn_1,35,39,3,25,2,30,3,2,2
string.iterator.equations._eqn_1,35,1001,3,25,13,992,18,7,3
tactic.id_tag.rsimp.equations._eqn_1,35,39,3,25,2,30,3,2,2
id_tag,7,17,5,1,1,14,2,2,2
nat.le,22,52,6,8,2,21,5,4,3
false.elim,25,16,6,10,1,5,1,1,1
nat.sizeof,3,19,2,1,1,18,3,3,3
nat.sizeof._main,3,19,2,1,1,18,3,3,3
decidable.false,39,48,4,26,2,37,4,3,3
not_false,3,6,2,1,1,5,1,1,1
mk_str_name,22,1349,6,7,14,1342,23,8,4
empty_relation,7,10,5,1,1,5,1,1,1
nat.sizeof._sunfold,3,19,2,1,1,18,3,3,3
false.cases_on,25,16,6,10,1,5,1,1,1
false.rec_on,25,16,6,10,1,5,1,1,1
nat.lt,28,56,7,9,2,21,5,4,3
io.process.spawn_args.cwd._default,12,991,2,9,13,990,20,7,3
tactic.dunfold_config.to_dsimp_config,55,130,9,33,5,104,12,9,6
tactic.unfold_proj_config.to_dsimp_config,55,130,9,33,5,104,12,9,6
tactic.unfold_config.to_simp_config,55,132,9,33,4,106,7,6,3
io.process.spawn_args.args._default,12,975,2,9,12,974,18,7,3
structure_instance_info.struct._default,12,1358,2,9,15,1357,24,8,4
nat.has_lt,58,78,8,29,3,38,6,5,3
nat.has_sizeof,31,41,3,18,2,35,4,4,3
function.const,9,12,11,1,0,7,1,1,1
feature_search.predictor_type.bayes.inj,8,42,2,1,3,40,6,4,4
implies.decidable._proof_1,9,12,10,1,0,7,1,1,1
vm_decl_kind.cfun.inj,8,42,2,1,3,40,6,4,4
vm_obj_kind.mpz.inj,8,76,2,1,3,74,17,15,15
tactic.unfold_config.proj._default,3,99,2,1,3,98,7,5,3
vm_decl_kind.bytecode.inj,8,42,2,1,3,40,6,4,4
binder_info.strict_implicit.inj,8,49,2,1,3,47,8,6,6
tactic.unfold_config.eta._default,3,99,2,1,3,98,7,5,3
expr.coord.lam_var_type.inj,8,61,2,1,3,59,12,10,10
tactic.new_goals.all.inj,8,42,2,1,3,40,6,4,4
widget.mouse_event_kind.on_mouse_leave.inj,8,42,2,1,3,40,6,4,4
feature_search.predictor_type.mepo.inj,8,42,2,1,3,40,6,4,4
vm_obj_kind.format.inj,8,76,2,1,3,74,17,15,15
vm_obj_kind.simple.inj,8,76,2,1,3,74,17,15,15
environment.implicit_infer_kind.none.inj,8,42,2,1,3,40,6,4,4
ordering.lt.inj,8,42,2,1,3,40,6,4,4
bool.ff.inj,8,40,2,1,3,38,5,3,3
binder_info.aux_decl.inj,8,49,2,1,3,47,8,6,6
congr_arg_kind.cast.inj,8,52,2,1,3,50,9,7,7
expr.coord.pi_var_type.inj,8,61,2,1,3,59,12,10,10
tactic.transparency.instances.inj,8,49,2,1,3,47,8,6,6
reducibility_hints.abbrev.inj,8,71,2,1,5,69,10,5,4
expr.address.equations._eqn_1,41,89,4,31,3,80,13,11,10
vm_obj_kind.level.inj,8,76,2,1,3,74,17,15,15
tactic.delta_config.max_steps,60,69,11,34,3,39,6,5,3
tactic.transparency.reducible.inj,8,49,2,1,3,47,8,6,6
expr.coord.app_fn.inj,8,61,2,1,3,59,12,10,10
tactic.simp_intros_config.use_hyps,59,139,10,34,4,109,7,6,3
vm_obj_kind.closure.inj,8,76,2,1,3,74,17,15,15
tactic.rewrite_cfg.md._default,3,77,2,1,4,76,16,7,6
std_gen.s1,58,61,11,32,2,31,4,4,3
io.process.stdio.piped.inj,8,42,2,1,3,40,6,4,4
vm_obj_kind.declaration.inj,8,76,2,1,3,74,17,15,15
tactic.unfold_config.zeta._default,3,99,2,1,3,98,7,5,3
congr_arg_kind.fixed_no_param.inj,8,52,2,1,3,50,9,7,7
format.color.cyan.inj,8,55,2,1,3,53,10,8,8
subsingleton_info.is_subsingleton,58,57,10,32,2,27,4,4,3
tactic.new_goals.non_dep_only.inj,8,42,2,1,3,40,6,4,4
ematch_config.max_generation,58,61,10,32,2,31,4,4,3
io.process.stdio.null.inj,8,42,2,1,3,40,6,4,4
list.inhabited,46,53,5,28,2,42,5,4,3
io.process.stdio.inherit.inj,8,42,2,1,3,40,6,4,4
std_gen.s2,58,61,10,32,2,31,4,4,3
tactic.unfold_config.canonize_instances._default,3,99,2,1,3,98,7,5,3
vm_obj_kind.options.inj,8,76,2,1,3,74,17,15,15
list.has_emptyc,46,53,5,28,2,42,5,4,3
format.color.grey.inj,8,55,2,1,3,53,10,8,8
vm_obj_kind.environment.inj,8,76,2,1,3,74,17,15,15
rsimp.config.attr_name,60,1381,11,34,15,1352,22,8,4
rsimp.config.max_rounds,59,1380,10,34,15,1352,22,8,4
format.color.blue.inj,8,55,2,1,3,53,10,8,8
tactic.transparency.all.inj,8,49,2,1,3,47,8,6,6
vm_decl_kind.builtin.inj,8,42,2,1,3,40,6,4,4
congr_arg_kind.fixed.inj,8,52,2,1,3,50,9,7,7
vm_obj_kind.native_closure.inj,8,76,2,1,3,74,17,15,15
tactic.dunfold_config.md._default,3,97,2,1,4,96,15,8,6
vm_obj_kind.constructor.inj,8,76,2,1,3,74,17,15,15
congr_arg_kind.heq.inj,8,52,2,1,3,50,9,7,7
binder_info.inst_implicit.inj,8,49,2,1,3,47,8,6,6
tactic.unfold_config.constructor_eq._default,3,99,2,1,3,98,7,5,3
feature_search.predictor_cfg.type,59,91,10,34,4,61,8,6,4
congr_arg_kind.eq.inj,8,52,2,1,3,50,9,7,7
bool.tt.inj,8,40,2,1,3,38,5,3,3
occurrences.all.inj,8,85,2,1,5,83,10,5,4
binder_info.default.inj,8,49,2,1,3,47,8,6,6
io.mode.write.inj,8,46,2,1,3,44,7,5,5
expr.coord.pi_body.inj,8,61,2,1,3,59,12,10,10
expr.coord.lam_body.inj,8,61,2,1,3,59,12,10,10
io.mode.read_write.inj,8,46,2,1,3,44,7,5,5
tactic.new_goals.non_dep_first.inj,8,42,2,1,3,40,6,4,4
ematch_config.max_instances,58,61,11,32,2,31,4,4,3
environment.implicit_infer_kind.implicit.inj,8,42,2,1,3,40,6,4,4
vm_obj_kind.other.inj,8,76,2,1,3,74,17,15,15
expr.coord.elet_assignment.inj,8,61,2,1,3,59,12,10,10
vm_obj_kind.tactic_state.inj,8,76,2,1,3,74,17,15,15
mk_simple_name,20,1346,4,7,14,1341,24,8,4
reducibility_hints.opaque.inj,8,71,2,1,5,69,10,5,4
pos.line,58,61,11,32,2,31,4,4,3
tactic.interactive.case_tag.match_result.exact_match.inj,8,42,2,1,3,40,6,4,4
option.inhabited,46,49,5,28,2,38,5,4,3
tactic.delta_config.visit_instances,59,69,10,34,3,39,6,5,3
feature_search.predictor_type.knn.inj,8,42,2,1,3,40,6,4,4
combinator.K,9,12,11,1,0,7,1,1,1
widget.mouse_event_kind.on_mouse_enter.inj,8,42,2,1,3,40,6,4,4
tactic.transparency.none.inj,8,49,2,1,3,47,8,6,6
io.mode.append.inj,8,46,2,1,3,44,7,5,5
format.color.red.inj,8,55,2,1,3,53,10,8,8
io.mode.read.inj,8,46,2,1,3,44,7,5,5
expr.coord.app_arg.inj,8,61,2,1,3,59,12,10,10
expr.coord.elet_var_type.inj,8,61,2,1,3,59,12,10,10
tactic.interactive.case_tag.match_result.no_match.inj,8,42,2,1,3,40,6,4,4
name.anonymous.inj,8,1361,2,1,16,1359,23,8,4
tactic.interactive.case_tag.match_result.fuzzy_match.inj,8,42,2,1,3,40,6,4,4
non_contradictory,11,8,4,2,1,2,1,1,1
format.color.green.inj,8,55,2,1,3,53,10,8,8
feature_search.predictor_cfg.to_feature_cfg,60,91,11,34,4,61,8,6,4
tactic.tag.equations._eqn_1,41,1366,4,31,15,1357,22,8,4
tactic.transparency.semireducible.inj,8,49,2,1,3,47,8,6,6
subsingleton_info.specialized,58,57,11,32,2,27,4,4,3
tactic.unfold_proj_config.md._default,3,97,2,1,4,96,15,8,6
tactic.simp_intros_config.to_simp_config,60,139,11,34,4,109,7,6,3
widget.mouse_event_kind.on_click.inj,8,42,2,1,3,40,6,4,4
