,name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
51,tactic.simp_config.iota._default.equations._eqn_1,51863,5524,20741,0,3937,3937,0
52,total,77029,8584,31772,0,5971,5971,0
53,io.process.stdio.null.inj_arrow,-1,-1,-1,-1,-1,-1,200
54,list.last._main._proof_1,83447,9589,33991,0,6352,6352,0
55,tactic.apply_cfg.approx._default.equations._eqn_1,51863,5470,20697,0,3831,3831,0
56,cc_config.em._default.equations._eqn_1,51863,5340,20491,0,3806,3806,0
57,feature_search.feature_cfg.ignore_conns,103733,13057,40276,0,7517,7517,0
58,tactic.simp_intros_config.use_hyps._default.equations._eqn_1,51957,5504,20710,0,3899,3899,0
59,fun_info.result_deps,106795,13705,42103,0,7805,7805,0
60,tactic.interactive.case_tag.match_result.fuzzy_match.inj_arrow,28726,2673,11430,0,2112,2112,0
61,function.comp,40211,4123,16615,0,3122,3122,0
62,tactic.dsimp_config.proj._default.equations._eqn_1,51863,5409,20633,0,4168,4168,0
63,widget.mouse_event_kind.on_mouse_enter.inj_arrow,28726,2874,11629,0,2176,2176,0
64,congr_arg_kind.fixed.inj_arrow,31332,3137,12404,0,2332,2332,0
65,vm_obj_kind.format.inj_arrow,37812,3942,16191,0,3044,3044,0
66,std_gen.cases_on,-1,-1,-1,-1,-1,-1,200
67,tactic.new_goals.all.inj_arrow,28726,2746,11578,0,2186,2186,0
68,congr_arg_kind.heq.inj_arrow,31332,3143,12383,0,2271,2271,0
69,vm_obj_kind.simple.inj_arrow,37812,3909,16126,0,3016,3016,0
70,bool.sizeof._main,21849,2129,9180,0,1718,1718,0
71,environment.implicit_infer_kind.relaxed_implicit.inj_arrow,28726,2744,11472,0,2143,2143,0
72,punit.sizeof._main,21309,1969,8981,0,1664,1664,0
73,format.color.orange.inj_arrow,32142,3298,14517,0,2679,2679,0
74,int.has_one,63005,7214,24251,0,4587,4587,0
75,ulift.down,126517,25244,49280,0,10279,10279,0
76,has_inv.inv,139110,18858,58648,0,10939,10939,0
77,function.comp_right,50920,5189,19955,0,3740,3740,0
78,function.comp_left,50445,5404,19843,0,3803,3803,0
