name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
and_congr_left_iff,-1,-1,-1,-1,-1,-1,-1,-1000
Int.dvd_neg.match_1,-1,-1,-1,-1,-1,-1,-1,-1000
Int.lt.dest.match_1,-1,-1,-1,-1,-1,-1,-1,-1000
Ordering.noConfusion,-1,-1,-1,-1,-1,-1,-1,-1000
IO.FS.instBEqSystemTime,-1,-1,-1,-1,-1,-1,-1,-1000
Std.Format.tag.sizeOf_spec,-1,-1,-1,-1,-1,-1,-1,-1000
Array.anyM.loop.proof_4,-1,-1,-1,-1,-1,-1,-1,-1000
MonadExcept.noConfusion,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Omega.IntList.get_cons_succ,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Meta.Occurrences.neg.injEq,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.add_sub_cancel\\',-1,-1,-1,-1,-1,-1,-1,-1000
Lean.SourceInfo._sizeOf_inst,-1,-1,-1,-1,-1,-1,-1,-1000
List.isPrefixOf_cons₂,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.sub_lt_succ,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Loop.noConfusionType,-1,-1,-1,-1,-1,-1,-1,-1000
Int.toNat_add,-1,-1,-1,-1,-1,-1,-1,-1000
List.findSomeM,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Data.AC.evalList,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.Linear.PolyCnstr.mk.sizeOf_spec,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.Linear.Expr._sizeOf_inst,-1,-1,-1,-1,-1,-1,-1,-1000
Bool.atLeastTwo_true_right,-1,-1,-1,-1,-1,-1,-1,-1000
ShareCommon.StateFactoryBuilder.noConfusionType,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.allM.loop,-1,-1,-1,-1,-1,-1,-1,-1000
Array.findIdx.loop.proof_4,-1,-1,-1,-1,-1,-1,-1,-1000
List.zipWith_cons_cons,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Omega.IntList.set_cons_succ,-1,-1,-1,-1,-1,-1,-1,-1000
EStateM.Result.ok.injEq,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Omega.Coeffs.map_length,-1,-1,-1,-1,-1,-1,-1,-1000
Bool.lt_of_le_of_lt,-1,-1,-1,-1,-1,-1,-1,-1000
instMonadBaseIO,-1,-1,-1,-1,-1,-1,-1,-1000
ByteArray.instGetElemByteArrayNatUInt8LtInstLTNatSize,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Data.AC.Variable.mk.inj,-1,-1,-1,-1,-1,-1,-1,-1000
List.hasDecidableLt.match_2,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Omega.Decidable.not_iff_iff_and_not_or_not_and,-1,-1,-1,-1,-1,-1,-1,-1000
IO.FS.SystemTime.mk.injEq,-1,-1,-1,-1,-1,-1,-1,-1000
IO.Error.toString.match_1,-1,-1,-1,-1,-1,-1,-1,-1000
IO.FS.Metadata._sizeOf_inst,-1,-1,-1,-1,-1,-1,-1,-1000
List.reverse_append,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.eq_zero_of_add_eq_zero.match_1,-1,-1,-1,-1,-1,-1,-1,-1000
Int.mul_def,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Omega.LinearCombo.sub_coeffs,-1,-1,-1,-1,-1,-1,-1,-1000
