name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
peirce',-1,-1,-1,-1,-1,-1,2
tactic.id_tag.simp,4185,439,1923,0,397,397,0
tactic.interactive.mono_cfg.unify._default,5089,634,2580,0,494,494,0
tactic.dsimp_config.proj._default,4995,489,2202,0,449,449,0
infer_instance,8282,695,4386,0,811,811,0
functor.const.mk,10306,952,5421,0,994,994,0
io.mode.read.inj,14870,1414,6748,0,1192,1192,0
environment.implicit_infer_kind.none.inj,13884,1399,5709,0,1083,1083,0
feature_search.predictor_type.mepo.inj,13884,1338,5700,0,1202,1202,0
exists_eq',-1,-1,-1,-1,-1,-1,2
punit.inhabited,37543,3779,17504,0,3137,3137,0
tactic.suggest.head_symbol_match.inhabited,40255,4119,18538,0,3272,3272,0
empty.rec_on,45340,4719,20070,0,3497,3497,0
vm_obj_kind.inhabited,49295,5263,21422,0,3893,3893,0
tactic.transparency.reducible.inj_arrow,30522,2980,12088,0,2343,2343,0
state,44990,6980,22491,0,4109,4109,0
tactic.simp_config.fail_if_unchanged._default.equations._eqn_1,51863,5193,23657,0,4060,4060,0
simps_cfg.rhs_md._default.equations._eqn_1,54575,7408,23404,0,4478,4478,0
expr.coord.elet_assignment.inj_arrow,33762,3675,18071,0,3194,3194,0
free_add_monoid.equations._eqn_1,69605,7983,33081,0,5960,5960,0
multiplicative.order_top,32626,4483,16696,0,3049,3049,0
linarith.linexp.equations._eqn_1,96528,11963,42897,0,7580,7580,0
strict_weak_order.equiv,78881,9998,32512,0,6089,6089,0
pos_num.has_one.equations._eqn_1,97583,13894,47205,0,7970,7970,0
implies.decidable._proof_3,51695,5790,20713,0,3961,3961,0
Prop.has_le.equations._eqn_1,113270,14399,47524,0,8507,8507,0
monoid.End,118154,28842,54527,0,11021,11021,0
has_star.star,139110,20956,66312,0,12181,12181,0
cubic.d,170309,26316,69089,0,13287,13287,0
nat.ibelow,157414,25673,66396,0,13007,13007,0
order_dual.inhabited.equations._eqn_1,91476,12467,36899,0,6968,6968,0
ulift.has_zero,189854,32660,75548,0,14824,14824,0
trunc.lift._proof_1,75511,9209,35658,0,6524,6524,0
has_dvd.rec_on,137279,19535,58222,0,11446,11446,0
has_subset.rec_on,137279,20979,63976,0,12403,12403,0
list.sublist_cons_of_sublist,192019,35239,83569,0,15880,15880,0
is_partial_order.to_is_preorder,203552,33694,86080,0,16894,16894,0
