name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
SlimCheck.Testable.instInhabitedOptionTOfPure,154997,17314388422,15076890094,57654457515,666,11599472793,365378376,1
Lean.Meta.Hypothesis\\'.binderInfo,130971,21769755298,11864568829,51330424545,962,9774390106,4589192790,1
Lean.IR.ExplicitBoxing.castArgsIfNeededAux.match_1,167570,17173870575,14877762293,60530699717,871,12278838691,332265407,1
Lean.Meta.CaseArraySizesSubgoal.recOn,195101,21575397935,16733736069,67974135761,665,13329623820,4703061186,1
Relation.Map,251178,17193556713,31691325369,85438556638,1058,18300400000,132714558,1
Mathlib.Data.Sym.Basic._auxLemma.9,307552,17312000377,28592416572,113127346505,488,22464633702,648881114,1
Lean.Meta.normLitValue.match_5,269463,17945209261,22912624875,101436980387,676,19861583204,1684263680,1
Lean.MVarId.withReverted.match_3,331111,19491557928,34870290140,119665136429,685,24240278288,2226153441,1
Mathlib.Algebra.Star.NonUnitalSubalgebra._auxLemma.26,357102,17458946978,37658479817,127317149651,947,25813068231,734031041,1
Lean.Elab.expandMacroImpl.match_3,359090,20267527469,32638806167,128025104819,933,24988851054,3125452225,1
Lean.IR.Sorry.visitDecl.match_1,363276,18971398134,37101928261,129468855696,605,25832513565,2088454479,1
Lean.Elab.Tactic.mkSimpOnly.match_1,360331,17218003944,46487733551,127793423611,1048,26130598185,236493728,1
Lean.Meta.TacticResultCNM.noConfusionType,363312,19325797903,41138645756,130030401991,1099,26588200120,2000682133,1
Lean.MVarId.falseOrByContra.match_1,396602,17090511888,43847872658,138947674527,786,28472872495,324952455,1
CategoryTheory.finBiconeHom.proof_21,382796,16857325817,38714824615,132389917810,702,26278328643,350102433,1
Turing.PartrecToTM2.Λ\\'.instDecidableEq.proof_88,424386,17822642879,40751292684,146312500026,580,30333593747,1538097793,1
Mathlib.Data.Subtype._auxLemma.5,376393,17569866944,41812055999,133640111201,750,27175471268,575024709,1
CategoryTheory.discreteCategory.proof_5,379692,17310628014,46058575866,132675218381,927,27213815253,317279035,1
Mathlib.Data.Finset.MulAntidiagonal._auxLemma.2,409225,18336908385,50716145439,144971652121,860,30283563669,796860067,1
Substring.ValidFor.valid.match_1,-1,-1,-1,-1,-1,-1,-1,247
String.utf8Len_cons,-1,-1,-1,-1,-1,-1,-1,247
Mathlib.Data.Rel._auxLemma.7,555951,17530271771,81605861269,214855995141,1663,44516339916,515733611,1
Mathlib.Computability.RegularExpressions._auxLemma.8,612180,17487672463,82163246086,228741499519,688,46485215266,505711396,1
Mathlib.MeasureTheory.Integral.Bochner._auxLemma.44,662013,18653248179,90697155204,239793085232,883,49518255222,1612126240,1
Mathlib.Combinatorics.SimpleGraph.Turan._auxLemma.11,780612,17216031443,107667885518,274351674473,642,57531806188,649173144,1
Mathlib.Analysis.SpecialFunctions.Complex.Arg._auxLemma.20,734818,17449800485,110431804562,255735692559,901,52788500800,526329624,1
Mathlib.Topology.Sober._auxLemma.7,759935,18134153733,122881382108,265679163983,680,55056949513,404233436,1
nsmul_eq_self.match_1,800786,18150214643,116364932931,279348170493,905,56835073634,459707225,1
Lean.Lsp.SymbolKind.toCtorIdx,780960,17685732484,123345969640,280906302156,873,59290763332,672517408,1
Mathlib.Data.Matrix.Notation._auxLemma.1,861176,17587681238,114729957057,296934901226,1188,62190959252,934759244,1
GradedMonoid.GradeZero.smul_eq_mul,842939,19694618600,142784871392,295165858137,1010,63372845512,2063230832,1
Nat.reduceEqDiff.match_1,875052,22046466884,132145886619,303160189566,678,63767526467,4748366011,1
